Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
NAPALM (Walker),Exclude,NAPALM-WALK13-1A-1K-2-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-2-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-1A-1K-2.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-2.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-1A-1K-3-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-3-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-1A-1K-3.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-3.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-1A-1K-4-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-4-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-1A-1K-4.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-4.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-1A-1K-5-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-5-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-1A-1K-5.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-5.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-1A-1K-6-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-6-W.jpg,,5.30
NAPALM (Walker),ICD,NAPALM-WALK13-1A-1K-6.pdf,.pdf,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-6.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,5.30
NAPALM (Walker),Exclude,NAPALM-WALK13-1A-1K-7-W.jpg,.jpg,NAPALM (Walker)/ICD/,NAPALM (Walker)/ICD/NAPALM-WALK13-1A-1K-7-W.jpg,,5.30
