Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
CAHO,Exclude,CAHO-MORD12-4A-1L-1-W.jpg,.jpg,CAHO/ICD/ICD jpeg/,CAHO/ICD/ICD jpeg/CAHO-MORD12-4A-1L-1-W.jpg,,6.91
CAHO,ICD,ICD sheet.pdf,.pdf,CAHO/ICD/,CAHO/ICD/ICD sheet.pdf,http://opencoredata.org/voc/csdco/v1/ICDFiles,8.92
CAHO,Exclude,CAHO-GRAS11-1A-1L-1_BOTTOM.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-1A-1L-1_BOTTOM.tif,,7.93
CAHO,Exclude,CAHO-GRAS11-1A-1L-1_TOP.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-1A-1L-1_TOP.tif,,7.93
CAHO,Exclude,CAHO-GRAS11-1A-2L_AP4.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-1A-2L_AP4.tif,,7.93
CAHO,Exclude,CAHO-GRAS11-1A-2L_AP5.6.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-1A-2L_AP5.6.tif,,7.93
CAHO,Exclude,CAHO-GRAS11-1B-1L-1.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-1B-1L-1.tif,,7.93
CAHO,Exclude,CAHO-GRAS11-1B-2L-1.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-1B-2L-1.tif,,7.93
CAHO,Exclude,CAHO-GRAS11-2A-1L-1_BOTTOM.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-2A-1L-1_BOTTOM.tif,,7.93
CAHO,Exclude,CAHO-GRAS11-2A-1L-1_TOP.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-2A-1L-1_TOP.tif,,7.93
CAHO,Exclude,CAHO-GRAS11-2A-2L-1.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-GRAS11-2A-2L-1.tif,,7.93
CAHO,Exclude,CAHO-HORM11-2A-1L-1.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM11-2A-1L-1.tif,,7.93
CAHO,Exclude,CAHO-HORM11-2A-2L-1.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM11-2A-2L-1.tif,,7.93
CAHO,Exclude,CAHO-HORM11-2B-1L-1.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM11-2B-1L-1.tif,,7.93
CAHO,Exclude,CAHO-HORM11-2C-1L-1.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM11-2C-1L-1.tif,,7.93
CAHO,Exclude,CAHO-HORM12-2A-1L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-2A-1L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-2A-2L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-2A-2L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-3A-1L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-3A-1L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-3A-2L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-3A-2L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-3A-3L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-3A-3L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-3A-4L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-3A-4L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-3B-1L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-3B-1L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-3B-2L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-3B-2L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-3B-3L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-3B-3L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-4A-1L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-4A-1L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-4A-2L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-4A-2L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-4A-3L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-4A-3L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-4A-4L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-4A-4L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-4A-5L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-4A-5L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-4A-6L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-4A-6L-1-W.tif,,6.91
CAHO,Exclude,CAHO-HORM12-4B-1L-1-W.tif,.tif,CAHO/Images/,CAHO/Images/CAHO-HORM12-4B-1L-1-W.tif,,6.91
