      8 Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
      1 3RPD,Exclude,1A-2L-1 5 cm Fe phases 400X pp.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/1A-2L-1 5 cm Fe phases 400X pp.jpg,,1.90
      1 3RPD,Exclude,._1A-2L-1 5 cm Fe phases 400X pp.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/._1A-2L-1 5 cm Fe phases 400X pp.jpg,,1.89
      1 3RPD,Exclude,1A-2L-1 30 cm phytos in situ.tif,.tif,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 30 cm phytos in situ.tif,,2.02
      1 3RPD,Exclude,1A-2L-1 30 cm phytos in situ.tif.thb,.thb,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 30 cm phytos in situ.tif.thb,,2.02
      1 3RPD,Exclude,1A-2L-1 30 cm phytos in situ.tif.sbx,.sbx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 30 cm phytos in situ.tif.sbx,,2.02
      1 3RPD,Exclude,1A-2L-1 30 cm phytos in situ.tif.eax,.eax,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 30 cm phytos in situ.tif.eax,,2.02
      1 3RPD,Exclude,1A-2L-1 30 cm phytos in situ.tif.cal.xml,.xml,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 30 cm phytos in situ.tif.cal.xml,,2.02
      1 3RPD,Exclude,1A-2L-1 30 cm phytos in situ.tif.anx,.anx,3RPD/Data/Smear Slides/3RPD petro photos/,3RPD/Data/Smear Slides/3RPD petro photos/1A-2L-1 30 cm phytos in situ.tif.anx,,2.02
      1 3RPD,Exclude,1A-2L-1 30 cm phytos in situ.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/1A-2L-1 30 cm phytos in situ.jpg,,1.90
      1 3RPD,Exclude,._1A-2L-1 30 cm phytos in situ.jpg,.jpg,3RPD/Data/Smear Slides/3RPD petro photos/processesd/,3RPD/Data/Smear Slides/3RPD petro photos/processesd/._1A-2L-1 30 cm phytos in situ.jpg,,1.89
